customernumber,customername,year,month,beginfootprint,deltaptcount,trainset,GamesPlayed,ActualWin,TheoWin,MachineDays,AdjGamesPlayed,AdjActualWin,AdjTheoWin,AdjMachineDays,PriorUtil,PriorWPUPD,PriorTheoWPUPD,PostUtil,PostWPUPD,PostTheoWPUPD,PriorAdjUtil,PriorAdjWPUPD,PriorAdjTheoWPUPD,PostAdjUtil,PostAdjWPUPD,PostAdjTheoWPUPD
CONF002,Gray Wolf Peaks Casino,2016,2,12,0,CTRL,861382,72391.01,46657.4110421,348,1054152.75113,64548.0646746,41602.4805497,0,0.137729276172,98.2379434954,106.647168079,0.165358217593,97.4119722222,133.960598739,0.140125184389,71.5971050549,80.283929881,0.148291104797,71.4523913513,96.2112133188
CONF002,Gray Wolf Peaks Casino,2016,3,12,0,CTRL,834088,-20258.4,44204.415696,372,949571.352934,-15490.5580694,33800.8464765,0,0.146309893481,125.318116531,112.008437713,0.149921686292,36.8487952899,139.575024295,0.168062857389,103.60087973,94.4768399989,0.206416608506,18.2676846828,105.158232291
CONF002,Gray Wolf Peaks Casino,2016,4,12,0,CTRL,876181,53072.32,53815.6199001,360,641443.183568,28111.0760541,28504.7833581,0,0.154141662893,97.8541304348,116.623990197,0.137500992063,92.3874404762,142.391719966,0.166260195364,79.1684363965,91.7051837254,0.128869572157,58.6962262183,107.446559393
CONF002,Gray Wolf Peaks Casino,2016,5,12,0,CTRL,673126,7867.15,56070.7912253,372,1013163.37216,7547.00590507,53789.0586145,0,0.162699150597,98.4233815427,128.6972208,0.113864438657,51.1106875,137.069635148,0.166045682261,72.6487372161,93.3841873002,0.146580348981,44.1536541025,128.646513608
CONF002,Gray Wolf Peaks Casino,2016,6,12,0,CTRL,113905,16665.98,9722.63364596,108,132767.643055,13646.7480641,7961.26791742,0,0.155187146082,77.8733333333,138.256362165,0.0732413837449,154.31462963,90.0243856108,0.174966074561,58.3440692593,108.606865702,0.0853701408531,126.358778372,73.7154436799
CREE001,Creek Nation - Checotah Indian Community Bingo,2013,7,90,0,CTRL,6789694,508250.31,505914.650323,2070,8873314.07258,589852.797855,587142.134688,0,0,0,0,0.235501679099,243.332004767,252.78003593,0,0,0,0.338630758853,250.465313435,257.763395763
CREE001,Creek Nation - Checotah Indian Community Bingo,2013,8,90,0,CTRL,9759705,661598.49,722217.497537,2782,6794856.16896,449003.505672,490143.483023,0,0.227780931294,245.531550725,244.403212717,0.237204315428,253.004492263,251.835501159,0.297682302488,284.953042442,283.643543327,0.246947650344,258.388560239,254.348201946
CREE001,Creek Nation - Checotah Indian Community Bingo,2013,9,90,0,CTRL,9061126,667794.5,680862.683486,2700,13457428.5382,852657.743537,869343.547094,0,0.236863936407,241.106512778,253.118744406,0.241727360602,258.296649573,256.78764546,0.224251314486,214.108883662,222.029187492,0.224197720014,257.088260515,252.29696139
CREE001,Creek Nation - Checotah Indian Community Bingo,2013,10,90,0,CTRL,9434188,763460.17,680103.084568,2790,11538516.238,835728.921091,744481.296381,0,0.235501679099,243.332004767,252.78003593,0.240265515969,249.536800725,257.196574176,0.26782455328,250.465313435,257.763395763,0.289094086218,228.450314632,232.776386486
CREE001,Creek Nation - Checotah Indian Community Bingo,2013,11,90,0,CTRL,10013044,684194.89,742125.048267,2700,6685007.67456,417166.188988,452487.270313,0,0.235318180719,251.508747824,250.347893629,0.237193463164,243.926425121,252.800894123,0.273051332066,263.705566443,260.211802474,0.17226184151,185.601692485,195.010009112
